Kode Wilayah;Mitra;ID RT;ID ART;Jenis Validasi;Perlakuan
1206071009000200;;1;4;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206071009000200;;4;3;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206072002000200;;59;6;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206081015000100;;68;4;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206081015000100;;68;5;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206082002000200;;44;3;Balita Kesulitan Mengurus Diri Sendiri;sesuai kondisi
1206030018000400;;126;2;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206030031000300;;6;2;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206040013000400;;21;1;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206071009000200;;16;2;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206081001000100;;33;2;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206082002000200;;60;1;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206082002000200;;60;2;PNS tapi Tidak Punya Rekening;HARUS DIUBAH PUNYA REKENING
1206030017000300;;22;22;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206030019000200;;30;30;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206040006000100;;8;8;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206040007000300;;58;58;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206040010000500;;21;21;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206050018000200;;15;15;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206050023000100;;22;22;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206051008000100;;4;4;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206051014000300;;18;18;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206060003000100;;25;25;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206060007000100;;27;27;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206060007000100;;39;39;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206060007000100;;42;42;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206060007000100;;52;52;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;14;14;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;15;15;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;27;27;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;3;3;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;30;30;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;38;38;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;40;40;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070038000300;;69;69;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206070040000200;;52;52;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206072009000200;;23;23;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206072009000200;;47;47;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206072009000200;;53;53;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206072009000200;;62;62;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206073003000100;;53;53;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206073003000100;;70;70;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206080018000200;;62;62;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206081011000100;;46;46;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206083006000300;;28;28;Miskin tapi Punya Water Heater;CEK, GANTI DI DOKUMEN
1206030004000400;;19;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030007000200;;26;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030009000200;;11;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;2;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;26;3;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;85;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;103;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;103;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;104;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;105;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;105;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;113;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;113;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;116;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;118;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;118;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030015000400;;119;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;5;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;6;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;7;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;8;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;9;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;10;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;11;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;12;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;13;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;14;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;15;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;16;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;17;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;18;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;19;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030017000300;;20;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
