Kode Wilayah;Mitra;ID RT;ID ART;Jenis Validasi;Perlakuan
1206030031000300;;100;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;102;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;109;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;113;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;113;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;135;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;146;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;153;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;6;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;90;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030033000100;;15;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030033000100;;16;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030033000100;;16;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030034000400;;29;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
