"id";"k_wil";"nama_sls";"rt";"art";"validasi";"perlakuan";"cek";"catatan"
"28527";"1206070011000200";"DUSUN 2";"72";"4";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28528";"1206071009000200";"DUSUN 2";"1";"4";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28529";"1206071009000200";"DUSUN 2";"4";"3";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28530";"1206072002000200";"DUSUN 2";"59";"6";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28531";"1206073001000300";"DUSUN 3";"8";"6";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28532";"1206073009000200";"DUSUN 2";"35";"6";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28533";"1206081015000100";"DUSUN 1 DOLOK NAGODANG";"68";"4";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28534";"1206081015000100";"DUSUN 1 DOLOK NAGODANG";"68";"5";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28535";"1206082002000200";"DUSUN 2";"44";"3";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28536";"1206082003000200";"DUSUN 2";"95";"3";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
