k_wil;k_kec;n_kec;k_desa;n_desa;k_sls;k_subsls;n_sls
1,21E+15;30;BALIGE;20;NAPITUPULU BAGASAN;3;0;LINGKUNGAN 5
1,21E+15;30;BALIGE;20;NAPITUPULU BAGASAN;5;0;LINGKUNGAN 6
1,21E+15;30;BALIGE;20;NAPITUPULU BAGASAN;6;0;LINGKUNGAN 7
1,21E+15;30;BALIGE;21;BALIGE III;1;0;LINGKUNGAN 1
1,21E+15;30;BALIGE;21;BALIGE III;1;0;LINGKUNGAN 2
1,21E+15;30;BALIGE;21;BALIGE III;3;0;LINGKUNGAN 3
1,21E+15;30;BALIGE;21;BALIGE III;2;0;LINGKUNGAN 3
1,21E+15;30;BALIGE;22;BALIGE II;3;0;DUSUN 1
1,21E+15;30;BALIGE;22;BALIGE II;3;0;DUSUN 2
1,21E+15;30;BALIGE;23;PAINDOAN;3;0;DUSUN NAGATIMBUL
1,21E+15;30;BALIGE;23;PAINDOAN;2;0;DUSUN SIMPANG EMPAT
1,21E+15;30;BALIGE;23;PAINDOAN;2;0;DUSUN ONAN SAMPANG
1,21E+15;30;BALIGE;24;PARSURATAN;5;0;DUSUN 1
1,21E+15;30;BALIGE;24;PARSURATAN;1;0;DUSUN 2
1,21E+15;30;BALIGE;24;PARSURATAN;4;0;DUSUN 3
1,21E+15;30;BALIGE;25;HUTA BULU MEJAN;1;0;DUSUN 1 HUTABULU
1,21E+15;30;BALIGE;25;HUTA BULU MEJAN;4;0;DUSUN 2 HUTA GURGUR
1,21E+15;30;BALIGE;25;HUTA BULU MEJAN;1;0;DUSUN 3 MEJAN
1,21E+15;30;BALIGE;26;SARIBURAJA JANJI MARIA;1;0;DUSUN 1
1,21E+15;30;BALIGE;26;SARIBURAJA JANJI MARIA;3;0;DUSUN 2
1,21E+15;30;BALIGE;26;SARIBURAJA JANJI MARIA;5;0;DUSUN 3
1,21E+15;30;BALIGE;26;SARIBURAJA JANJI MARIA;2;0;DUSUN 4
1,21E+15;30;BALIGE;27;BARU ARA;4;0;DUSUN BATU BARA
1,21E+15;30;BALIGE;27;BARU ARA;1;0;DUSUN GALA GALA
1,21E+15;30;BALIGE;27;BARU ARA;1;0;DUSUN HUTAGALUNG SIGUNDALI
1,21E+15;30;BALIGE;27;BARU ARA;1;0;DUSUN LUMBAN ONAN
1,21E+15;30;BALIGE;27;BARU ARA;3;0;DUSUN PANGARAJI
1,21E+15;30;BALIGE;27;BARU ARA;4;0;DUSUN PULO NAGODANG
1,21E+15;30;BALIGE;27;BARU ARA;4;0;DUSUN SIMPANG TIGA
